RawData,FilteredData(graus/s),FilteredData(rad/s),Angles(rad)
-0.304878,-0.341973,-0.00596856,-0.0153545
-0.304878,-0.334554,-0.00583907,-0.0153837
-0.304878,-0.328619,-0.00573548,-0.0154123
-0.304878,-0.323871,-0.00565261,-0.0154406
-0.182927,-0.295682,-0.00516062,-0.0154664
-0.182927,-0.273131,-0.00476703,-0.0154902
-0.182927,-0.25509,-0.00445216,-0.0155125
-0.121951,-0.228462,-0.00398742,-0.0155324
-0.121951,-0.20716,-0.00361563,-0.0155505
-0.121951,-0.190118,-0.00331819,-0.0155671
-0.121951,-0.176485,-0.00308024,-0.0155825
-0.487805,-0.238749,-0.00416695,-0.0156033
-0.487805,-0.28856,-0.00503632,-0.0156285
-0.487805,-0.328409,-0.00573182,-0.0156572
-0.487805,-0.360288,-0.00628822,-0.0156886
-0.487805,-0.385792,-0.00673333,-0.0157223
-0.487805,-0.406194,-0.00708943,-0.0157577
-0.487805,-0.422516,-0.0073743,-0.0157946
-0.365854,-0.411184,-0.00717651,-0.0158305
-0.365854,-0.402118,-0.00701828,-0.0158656
-0.487805,-0.419255,-0.00731738,-0.0159022
-0.487805,-0.432965,-0.00755667,-0.01594
-0.487805,-0.443933,-0.00774809,-0.0159787
-0.487805,-0.452707,-0.00790124,-0.0160182
-0.670732,-0.496312,-0.00866228,-0.0160615
-0.670732,-0.531196,-0.00927112,-0.0161079
-0.670732,-0.559103,-0.00975819,-0.0161567
-0.0609756,-0.459478,-0.0080194,-0.0161968
-0.0609756,-0.379777,-0.00662836,-0.0162299
-0.0609756,-0.316017,-0.00551554,-0.0162575
-0.426829,-0.338179,-0.00590234,-0.016287
-0.426829,-0.355909,-0.00621179,-0.016318
-0.426829,-0.370093,-0.00645935,-0.0163503
-0.426829,-0.381441,-0.00665739,-0.0163836
-0.487805,-0.402713,-0.00702868,-0.0164188
-0.487805,-0.419732,-0.0073257,-0.0164554
-0.304878,-0.396761,-0.00692479,-0.01649
-0.304878,-0.378384,-0.00660405,-0.016523
-0.304878,-0.363683,-0.00634747,-0.0165548
-0.304878,-0.351922,-0.0061422,-0.0165855
-0.304878,-0.342513,-0.00597798,-0.0166154
-0.243902,-0.322791,-0.00563377,-0.0166435
-0.243902,-0.307013,-0.00535839,-0.0166703
-0.609756,-0.367562,-0.00641517,-0.0167024
-0.609756,-0.416001,-0.00726058,-0.0167387
-0.609756,-0.454752,-0.00793692,-0.0167784
-0.609756,-0.485753,-0.00847798,-0.0168208
-0.609756,-0.510553,-0.00891084,-0.0168653
-0.609756,-0.530394,-0.00925712,-0.0169116
-0.609756,-0.546266,-0.00953415,-0.0169593
-0.426829,-0.522379,-0.00911723,-0.0170049
-0.426829,-0.503269,-0.0087837,-0.0170488
-0.426829,-0.487981,-0.00851688,-0.0170914
-0.426829,-0.475751,-0.00830342,-0.0171329
-0.365854,-0.453771,-0.0079198,-0.0171725
-0.365854,-0.436188,-0.00761291,-0.0172106
-0.54878,-0.458706,-0.00800594,-0.0172506
-0.54878,-0.476721,-0.00832035,-0.0172922
-0.54878,-0.491133,-0.00857189,-0.0173351
-0.54878,-0.502663,-0.00877312,-0.0173789
-0.426829,-0.487496,-0.00850841,-0.0174215
-0.426829,-0.475363,-0.00829664,-0.017463
-0.426829,-0.465656,-0.00812723,-0.0175036
-0.426829,-0.457891,-0.0079917,-0.0175436
-0.609756,-0.488264,-0.00852181,-0.0175862
-0.609756,-0.512562,-0.0089459,-0.0176309
-0.487805,-0.507611,-0.00885948,-0.0176752
-0.487805,-0.50365,-0.00879034,-0.0177191
-0.487805,-0.500481,-0.00873503,-0.0177628
-0.487805,-0.497945,-0.00869079,-0.0178063
-0.182927,-0.434942,-0.00759117,-0.0178442
-0.182927,-0.384539,-0.00671147,-0.0178778
-0.182927,-0.344216,-0.00600771,-0.0179078
-0.182927,-0.311958,-0.0054447,-0.017935
-0.365854,-0.322737,-0.00563283,-0.0179632
-0.365854,-0.331361,-0.00578334,-0.0179921
-0.54878,-0.374845,-0.00654227,-0.0180248
-0.54878,-0.409632,-0.00714942,-0.0180606
-0.54878,-0.437462,-0.00763514,-0.0180988
-0.54878,-0.459725,-0.00802372,-0.0181389
-0.426829,-0.453146,-0.00790889,-0.0181784
-0.426829,-0.447883,-0.00781703,-0.0182175
-0.426829,-0.443672,-0.00774354,-0.0182562
-0.426829,-0.440304,-0.00768475,-0.0182946
-0.243902,-0.401023,-0.00699918,-0.0183296
-0.243902,-0.369599,-0.00645072,-0.0183619
-0.304878,-0.356655,-0.0062248,-0.018393
-0.304878,-0.3463,-0.00604407,-0.0184232
-0.304878,-0.338015,-0.00589948,-0.0184527
-0.304878,-0.331388,-0.00578381,-0.0184817
-0.731707,-0.411452,-0.00718119,-0.0185176
-0.731707,-0.475503,-0.00829909,-0.0185591
-0.731707,-0.526744,-0.00919341,-0.018605
-0.426829,-0.506761,-0.00884465,-0.0186493
-0.426829,-0.490775,-0.00856563,-0.0186921
-0.426829,-0.477985,-0.00834242,-0.0187338
-0.426829,-0.467754,-0.00816385,-0.0187746
-0.487805,-0.471764,-0.00823384,-0.0188158
-0.487805,-0.474972,-0.00828983,-0.0188572
-0.487805,-0.477539,-0.00833463,-0.0188989
-0.304878,-0.443007,-0.00773193,-0.0189376
-0.304878,-0.415381,-0.00724977,-0.0189738
-0.304878,-0.39328,-0.00686404,-0.0190081
-0.426829,-0.39999,-0.00698115,-0.019043
-0.426829,-0.405358,-0.00707483,-0.0190784
-0.426829,-0.409652,-0.00714978,-0.0191142
-0.426829,-0.413088,-0.00720974,-0.0191502
-0.365854,-0.403641,-0.00704486,-0.0191854
-0.365854,-0.396083,-0.00691296,-0.01922
-0.426829,-0.402233,-0.00702028,-0.0192551
-0.426829,-0.407152,-0.00710614,-0.0192906
-0.426829,-0.411087,-0.00717483,-0.0193265
-0.426829,-0.414236,-0.00722978,-0.0193627
-0.365854,-0.404559,-0.00706089,-0.019398
-0.365854,-0.396818,-0.00692578,-0.0194326
-0.365854,-0.390625,-0.0068177,-0.0194667
-0.365854,-0.385671,-0.00673123,-0.0195003
-0.426829,-0.393903,-0.0068749,-0.0195347
-0.426829,-0.400488,-0.00698983,-0.0195697
-0.609756,-0.442342,-0.00772032,-0.0196083
-0.609756,-0.475824,-0.0083047,-0.0196498
-0.609756,-0.502611,-0.00877221,-0.0196936
-0.609756,-0.52404,-0.00914622,-0.0197394
-0.54878,-0.528988,-0.00923258,-0.0197855
-0.54878,-0.532946,-0.00930167,-0.019832
-0.54878,-0.536113,-0.00935694,-0.0198788
-0.54878,-0.538647,-0.00940116,-0.0199258
-0.487805,-0.528478,-0.00922369,-0.019972
-0.487805,-0.520344,-0.00908171,-0.0200174
-0.54878,-0.526031,-0.00918097,-0.0200633
